zona,atraccion,tiempo_espera,abierta,ultima_actualizacion,fecha,hora,dia_semana,mes,fin_de_semana,temperatura,humedad,sensacion_termica,codigo_clima,temporada
DC Super Heroes World,The Joker Coches de Choque,10,True,2025-10-30 15:55:09+00:00,2025-10-30,16:56:20,Thursday,10.0,False,17.2,71.0,16.5,2.0,baja
Movie World Studios,Cine Tour,0,False,2025-10-30 15:55:09+00:00,2025-10-30,16:56:20,Thursday,10.0,False,17.2,71.0,16.5,2.0,baja
Movie World Studios,Hotel Embrujado,5,True,2025-10-30 15:55:09+00:00,2025-10-30,16:56:20,Thursday,10.0,False,17.2,71.0,16.5,2.0,baja
Movie World Studios,Oso Yogui,0,False,2025-10-30 15:55:09+00:00,2025-10-30,16:56:20,Thursday,10.0,False,17.2,71.0,16.5,2.0,baja
Movie World Studios,Stunt Fall,0,False,2025-10-30 15:55:09+00:00,2025-10-30,16:56:20,Thursday,10.0,False,17.2,71.0,16.5,2.0,baja
Old West Territory,Cataratas Salvajes,0,False,2025-10-30 15:55:09+00:00,2025-10-30,16:56:20,Thursday,10.0,False,17.2,71.0,16.5,2.0,baja
Old West Territory,Coaster Express,20,True,2025-10-30 15:55:09+00:00,2025-10-30,16:56:20,Thursday,10.0,False,17.2,71.0,16.5,2.0,baja
Old West Territory,Los Carros de la Mina,5,True,2025-10-30 15:55:09+00:00,2025-10-30,16:56:20,Thursday,10.0,False,17.2,71.0,16.5,2.0,baja
Old West Territory,Río Bravo,0,False,2025-10-30 15:55:09+00:00,2025-10-30,16:56:20,Thursday,10.0,False,17.2,71.0,16.5,2.0,baja
Cartoon Village,A Toda Máquina,5,True,2025-10-30 16:10:09+00:00,2025-10-30,17:11:20,Thursday,10.0,False,17.2,72.0,16.6,2.0,baja
Cartoon Village,Academia de Pilotos Baby Looney Tunes,0,False,2025-10-30 16:10:09+00:00,2025-10-30,17:11:20,Thursday,10.0,False,17.2,72.0,16.6,2.0,baja
Cartoon Village,Cartoon Carousel,5,True,2025-10-30 16:10:09+00:00,2025-10-30,17:11:20,Thursday,10.0,False,17.2,72.0,16.6,2.0,baja
